日期,收盘,涨跌幅
2023-01-03,11.92,5.39
2023-01-04,12.47,4.61
2023-01-05,12.63,1.28
2023-01-06,12.77,1.11
2023-01-09,12.95,1.41
2023-01-10,12.59,-2.78
2023-01-11,12.82,1.83
2023-01-12,12.82,0.0
2023-01-13,13.1,2.18
2023-01-16,13.23,0.99
2023-01-17,13.12,-0.83
2023-01-18,13.26,1.07
2023-01-19,13.24,-0.15
2023-01-20,13.28,0.3
2023-01-30,13.3,0.15
2023-01-31,13.14,-1.2
2023-02-01,12.85,-2.21
2023-02-02,12.75,-0.78
2023-02-03,12.47,-2.2
2023-02-06,12.15,-2.57
2023-02-07,12.36,1.73
2023-02-08,12.19,-1.38
2023-02-09,12.28,0.74
2023-02-10,12.13,-1.22
2023-02-13,11.97,-1.32
2023-02-14,12.11,1.17
2023-02-15,11.82,-2.39
2023-02-16,11.75,-0.59
2023-02-17,11.58,-1.45
2023-02-20,12.3,6.22
2023-02-21,12.25,-0.41
2023-02-22,12.17,-0.65
2023-02-23,12.2,0.25
2023-02-24,12.01,-1.56
2023-02-27,11.84,-1.42
2023-02-28,11.93,0.76
2023-03-01,12.32,3.27
2023-03-02,12.39,0.57
2023-03-03,12.44,0.4
2023-03-06,12.0,-3.54
2023-03-07,11.84,-1.33
2023-03-08,11.68,-1.35
2023-03-09,11.35,-2.83
2023-03-10,11.29,-0.53
2023-03-13,11.2,-0.8
2023-03-14,11.02,-1.61
2023-03-15,11.2,1.63
2023-03-16,10.97,-2.05
2023-03-17,10.9,-0.64
2023-03-20,10.72,-1.65
2023-03-21,10.85,1.21
2023-03-22,10.94,0.83
2023-03-23,11.05,1.01
2023-03-24,10.97,-0.72
2023-03-27,10.75,-2.01
2023-03-28,10.79,0.37
2023-03-29,10.68,-1.02
2023-03-30,10.83,1.4
2023-03-31,10.68,-1.39
2023-04-03,10.82,1.31
2023-04-04,10.8,-0.18
2023-04-06,10.73,-0.65
2023-04-07,10.77,0.37
2023-04-10,10.83,0.56
2023-04-11,10.69,-1.29
2023-04-12,10.63,-0.56
2023-04-13,10.71,0.75
2023-04-14,10.84,1.21
